id,group_id,user_id,role,invited_by,joined_at
e7170446-d168-40fd-ac1f-1d9c7f757f3c,284780c3-fc92-4520-9ac8-329ccc5440b1,554bcda1-7a33-497d-ac1f-19b60af4e876,owner,,2026-05-18 13:47:51.862776-04:00
e6b5052d-0f3d-4ead-b7c1-987622748121,07d5c576-5c5f-445d-9ef3-d80cbdc2e599,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:15:55.818316-04:00
7f5ba8be-cda5-49b7-bd6a-57f203d09a5a,07d5c576-5c5f-445d-9ef3-d80cbdc2e599,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:15:55.994576-04:00
4a50bc65-ab3d-493f-89ef-d288ab43c861,624751d2-a6d3-4502-81ea-d447a24efe6e,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:18:35.333274-04:00
8d76e5b3-07c3-4699-ac2b-c9eb249c75d4,624751d2-a6d3-4502-81ea-d447a24efe6e,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:18:35.486645-04:00
4556d082-15de-402b-a83f-8c75b05cac4c,38ab988e-db74-41e9-ae7d-3b962f85e14f,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:22:38.064658-04:00
0bca1c1e-b5dd-4b92-884d-d34a46d53d34,38ab988e-db74-41e9-ae7d-3b962f85e14f,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:22:38.223347-04:00
41c1e6eb-543a-4913-b232-39fc3c2056c5,1643f775-ef93-40a5-a79f-938d434c73a3,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:26:36.881528-04:00
242ead4c-7ca7-4134-8d3b-e7506a1d2867,1643f775-ef93-40a5-a79f-938d434c73a3,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:26:37.037680-04:00
3d412f03-0e39-4574-946f-d0e4d266bbe7,161f6cd4-a790-463a-87d5-4caeb9426da5,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:29:33.609931-04:00
9d4c540a-61da-4384-ab8f-d1155da6aea3,161f6cd4-a790-463a-87d5-4caeb9426da5,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:29:33.763769-04:00
97c4f577-5fbd-4552-a7e0-79701db12c2c,0661be2c-8157-482d-8b14-a89892559455,7eceeae5-a8ef-4d61-9e50-c99a955dbd11,owner,,2026-05-18 14:31:06.075030-04:00
f7e09413-1a5d-46cd-a59c-e3fcf5c70065,0661be2c-8157-482d-8b14-a89892559455,0b7103e8-e6bf-4908-889e-2f151d50e475,contributor,,2026-05-18 14:31:06.231126-04:00
